date,fragility_prob,action,ext_scale,recovery_override_scale,rel_tilt,stress_thr,recovery_thr,prob_trigger,fold
2019-03-22,0.4201392911807928,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2019-03-29,0.49159292758220136,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2019-04-05,0.5266066907188525,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2019-04-12,0.5268388585246472,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2019-04-26,0.5255484974013825,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2019-05-03,0.5708937462476453,DEFENSIVE_LIGHT,0.9,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2019-05-10,0.6244127903321641,DEFENSIVE_LIGHT,0.9,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2019-05-17,0.6074619025969026,DEFENSIVE_LIGHT,0.9,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2019-05-24,0.48119627356631306,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2019-05-31,0.47897572332007665,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2019-06-07,0.3818780774015321,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2019-06-14,0.41242432649847177,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2019-06-21,0.36594238675405744,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2019-06-28,0.3580168834186553,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2019-07-05,0.3421615679830668,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2019-07-12,0.3450738422688787,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2019-07-19,0.5137928838209138,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2019-07-26,0.44898525732378064,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2019-08-02,0.5517003627902669,DEFENSIVE_LIGHT,0.9,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2019-08-09,0.25997414515857037,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2019-08-16,0.25297781168528916,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2019-08-23,0.14364757490686914,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2019-08-30,0.12035376352456192,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2019-09-06,0.09912925180221561,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2019-09-13,0.08964276226941584,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2019-09-20,0.11926937879702915,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2019-09-27,0.2636488101603064,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2019-10-04,0.3527977109199528,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2019-10-11,0.345158975974488,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2019-10-18,0.3670356063315525,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2019-10-25,0.32278713562324785,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2019-11-01,0.3684482365925605,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2019-11-08,0.4176562931412704,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2019-11-15,0.4899519127947491,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2019-11-22,0.5066117976565719,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2019-11-29,0.5845516595639242,DEFENSIVE_LIGHT,0.9,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2019-12-06,0.6591382148597299,DEFENSIVE_LIGHT,0.9,0.0,,7.7272005176417435,13.071365022894671,0.55,2
