date,action,ext_scale,recovery_override_scale,rel_tilt,stress_thr,recovery_thr,fold
2018-11-16,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2018-11-23,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2018-11-30,DEFENSIVE_LIGHT,0.8,0.0,,5.070205676540773,15.539451249145573,1
2018-12-07,DEFENSIVE_LIGHT,0.8,0.0,,5.070205676540773,15.539451249145573,1
2018-12-14,DEFENSIVE_LIGHT,0.8,0.0,,5.070205676540773,15.539451249145573,1
2018-12-21,DEFENSIVE_LIGHT,0.8,0.0,,5.070205676540773,15.539451249145573,1
2018-12-28,DEFENSIVE_LIGHT,0.8,0.0,,5.070205676540773,15.539451249145573,1
2019-01-04,DEFENSIVE_LIGHT,0.8,0.0,,8.888103274745408,13.636257806618895,2
2019-01-11,DEFENSIVE_LIGHT,0.8,0.0,,8.888103274745408,13.636257806618895,2
2019-01-18,DEFENSIVE_LIGHT,0.8,0.0,,8.888103274745408,13.636257806618895,2
2019-01-25,DEFENSIVE_LIGHT,0.8,0.0,,8.888103274745408,13.636257806618895,2
2019-02-01,DEFENSIVE_LIGHT,0.8,0.0,,8.888103274745408,13.636257806618895,2
2019-02-08,DEFENSIVE_LIGHT,0.8,0.0,,8.888103274745408,13.636257806618895,2
2019-02-15,DEFENSIVE_LIGHT,0.8,0.0,,8.888103274745408,13.636257806618895,2
2019-02-22,BASELINE,1.0,0.0,,8.888103274745408,13.636257806618895,2
2019-03-01,BASELINE,1.0,0.0,,8.888103274745408,13.636257806618895,2
2019-03-08,BASELINE,1.0,0.0,,8.888103274745408,13.636257806618895,2
2019-03-15,BASELINE,1.0,0.0,,8.888103274745408,13.636257806618895,2
2019-03-22,BASELINE,1.0,0.0,,8.888103274745408,13.636257806618895,2
2019-03-29,BASELINE,1.0,0.0,,8.888103274745408,13.636257806618895,2
2019-04-05,BASELINE,1.0,0.0,,8.888103274745408,13.636257806618895,2
2019-04-12,REL_TILT,1.0,0.0,0.55,8.888103274745408,13.636257806618895,2
2019-04-26,REL_TILT,1.0,0.0,0.55,8.888103274745408,13.636257806618895,2
2019-05-03,REL_TILT,1.0,0.0,0.55,8.888103274745408,13.636257806618895,2
