recon_date,members,n_members
2016-07-01,"[""AAPL"", ""AMZN"", ""META"", ""MSFT"", ""GOOGL"", ""NFLX"", ""INTC"", ""NVDA"", ""MU"", ""QCOM""]",10
2016-10-01,"[""AAPL"", ""AMZN"", ""META"", ""MSFT"", ""GOOGL"", ""NFLX"", ""INTC"", ""NVDA"", ""QCOM"", ""MU""]",10
2017-01-01,"[""AAPL"", ""AMZN"", ""META"", ""NVDA"", ""MSFT"", ""GOOGL"", ""NFLX"", ""MU"", ""INTC"", ""QCOM""]",10
2017-04-01,"[""AAPL"", ""AMZN"", ""META"", ""NVDA"", ""MSFT"", ""GOOGL"", ""AMD"", ""MU"", ""INTC"", ""NFLX""]",10
2017-07-01,"[""AMZN"", ""AAPL"", ""NVDA"", ""META"", ""GOOGL"", ""MSFT"", ""AMD"", ""MU"", ""NFLX"", ""INTC""]",10
2017-10-01,"[""AAPL"", ""AMZN"", ""NVDA"", ""META"", ""GOOGL"", ""MSFT"", ""MU"", ""NFLX"", ""AMD"", ""INTC""]",10
2018-01-01,"[""AAPL"", ""AMZN"", ""META"", ""NVDA"", ""MU"", ""MSFT"", ""GOOGL"", ""NFLX"", ""INTC"", ""AVGO""]",10
2018-04-01,"[""AMZN"", ""META"", ""AAPL"", ""NVDA"", ""NFLX"", ""MU"", ""MSFT"", ""GOOGL"", ""INTC"", ""AVGO""]",10
2018-07-01,"[""AMZN"", ""AAPL"", ""NFLX"", ""META"", ""MU"", ""NVDA"", ""MSFT"", ""GOOGL"", ""INTC"", ""AMD""]",10
2018-10-01,"[""AMZN"", ""AAPL"", ""AMD"", ""META"", ""NFLX"", ""NVDA"", ""MSFT"", ""GOOGL"", ""MU"", ""INTC""]",10
2019-01-01,"[""AMZN"", ""AAPL"", ""MSFT"", ""META"", ""NFLX"", ""NVDA"", ""GOOGL"", ""AMD"", ""MU"", ""INTC""]",10
2019-04-01,"[""AMZN"", ""AAPL"", ""MSFT"", ""META"", ""NFLX"", ""NVDA"", ""GOOGL"", ""AMD"", ""MU"", ""INTC""]",10
