date,fragility_prob,recovery_prob,action,ext_scale,recovery_override_scale,rel_tilt,stress_thr,recovery_thr,prob_trigger,recovery_prob_trigger,chop,fold
2021-05-14,0.3185640212564918,0.10720230323162447,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2021-05-21,0.27762007331265226,0.08582149145777716,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,1,3
2021-05-28,0.2820323568952916,0.08307686750303347,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,1,3
2021-06-04,0.28183991406084846,0.09143242631613267,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2021-06-11,0.2998606744677128,0.07002009375972713,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2021-06-18,0.3556169410067276,0.029475043707715913,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2021-06-25,0.40224692592516287,0.014700388664216737,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2021-07-02,0.4913566445280869,0.014700388664216737,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2021-07-09,0.49695653986146743,0.014700388664216737,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2021-07-16,0.46948453036649584,0.00773407850247303,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2021-07-23,0.5062540602332901,0.0,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2021-07-30,0.507800798305026,0.0,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2021-08-06,0.5841893051492121,0.0,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2021-08-13,0.6409748631470716,0.0,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2021-08-20,0.5970770951126796,0.0,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2021-08-27,0.5582353137698598,0.0,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2021-09-03,0.5605612657233204,0.0,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2021-09-10,0.5852754115193014,0.004352952105380925,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2021-09-17,0.5894269122383284,0.0,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2021-09-24,0.522603412622149,0.0007778943686603706,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2021-10-01,0.5226279287732881,0.006924882080843196,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2021-10-08,0.3852338206099783,0.004044760013880547,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2021-10-15,0.4261924579467042,0.005921663341384017,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2021-10-22,0.35057896730488625,0.01055144085593767,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2021-10-29,0.3785886309413889,0.020184932471232188,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2021-11-05,0.5320884029254502,0.0,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2021-11-12,0.5512002831764007,0.0,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2021-11-19,0.6175046872926248,0.0,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2021-11-26,0.536872132625669,0.0023921993499458286,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2021-12-03,0.422977553364016,0.0019606440071556347,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2021-12-10,0.43637439847978915,0.002576744186046512,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2021-12-17,0.4232146095269895,0.0058844594118653325,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2021-12-31,0.4190311182988546,0.0,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2022-01-07,0.36785833907309556,0.015286002574823812,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2022-01-14,0.1715926878576508,0.11297456694223006,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
