date,fragility_prob,recovery_prob,action,ext_scale,recovery_override_scale,rel_tilt,stress_thr,recovery_thr,prob_trigger,recovery_prob_trigger,recover_opp,recover_fire,frag_fire,chop,fold
2021-01-15,0.49623504847387717,0.026024352847191682,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,1,3
2021-01-22,0.49613238471187937,0.019723670555846715,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2021-01-29,0.4419252395771604,0.04172682058398168,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2021-02-05,0.46118142251614314,0.0348678910706253,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2021-02-12,0.5025110091356209,0.00572713613142342,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2021-02-19,0.5321393154202124,0.012643085663230455,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2021-02-26,0.38401837755483265,0.0463379936873131,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2021-03-05,0.40837236663150445,0.0639334703720232,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2021-03-12,0.336833910378274,0.09723839249563529,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2021-03-19,0.3149115957470405,0.2662807256599392,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2021-03-26,0.3024146853313035,0.2278606326315601,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,1,3
2021-04-09,0.3100553050084581,0.07619305026946989,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2021-04-16,0.3611342832926447,0.049214869796443454,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2021-04-23,0.3775076806610787,0.03836029290067482,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2021-04-30,0.4158686960020991,0.030498684180689618,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2021-05-07,0.4164406091039674,0.031291638567620246,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,1,3
2021-05-14,0.3185640212564918,0.1583919989874378,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2021-05-21,0.27762007331265226,0.10567424058423332,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,1,3
2021-05-28,0.2820323568952916,0.08657954012764942,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,1,3
2021-06-04,0.28183991406084846,0.06454749392335998,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2021-06-11,0.2998606744677128,0.056318057530071,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2021-06-18,0.3556169410067276,0.020620241690561706,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2021-06-25,0.40224692592516287,0.015055898241305968,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2021-07-02,0.4913566445280869,0.006360878921723408,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2021-07-09,0.49695653986146743,0.006360878921723408,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2021-07-16,0.46948453036649584,0.01176768810898992,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2021-07-23,0.5062540602332901,0.0,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2021-07-30,0.507800798305026,0.0,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2021-08-06,0.5841893051492121,0.0,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2021-08-13,0.6409748631470716,0.0,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2021-08-20,0.5970770951126796,0.0,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
