date,fragility_prob,recovery_prob,action,ext_scale,recovery_override_scale,rel_tilt,stress_thr,recovery_thr,prob_trigger,recovery_prob_trigger,recover_opp,recover_fire,frag_fire,chop,recover_cond_count,fold
2018-08-10,0.5030727354590319,0.38719361502185184,BASELINE,1.0,0.0,,8.215510510438504,14.251949038020804,0.55,0.48,0,0,0,0,3,1
2018-08-17,0.5262515166760927,0.28599909182598937,BASELINE,1.0,0.0,,8.215510510438504,14.251949038020804,0.55,0.48,0,0,0,0,2,1
2018-08-24,0.5326556165662725,0.27459167272224594,BASELINE,1.0,0.0,,8.215510510438504,14.251949038020804,0.55,0.48,0,0,0,0,4,1
2018-08-31,0.615676967291746,0.3300422545674492,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.251949038020804,0.55,0.48,0,0,1,0,4,1
2018-09-07,0.5997930062914638,0.40652527475687267,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.251949038020804,0.55,0.48,0,0,1,0,4,1
2018-09-14,0.5811993241901399,0.25637553980833344,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.251949038020804,0.55,0.48,0,0,1,0,4,1
2018-09-21,0.6104913385229732,0.31119137210144737,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.251949038020804,0.55,0.48,0,0,1,0,4,1
2018-09-28,0.6767709313517224,0.32814023872632114,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.251949038020804,0.55,0.48,0,0,1,0,4,1
2018-10-05,0.6258104682254556,0.508644780961836,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.251949038020804,0.55,0.48,1,0,1,0,4,1
2018-10-12,0.3182064176962402,0.5844468665151696,RECOVERY_OVERRIDE,1.0,0.45222343325758485,,8.215510510438504,14.251949038020804,0.55,0.48,1,1,0,0,3,1
2018-10-19,0.33926265871176714,0.6313965636442622,RECOVERY_OVERRIDE,1.0,0.4839772048765548,,8.215510510438504,14.251949038020804,0.55,0.48,1,1,0,0,4,1
2018-10-26,0.10281886140525609,0.4891870122339578,BASELINE,1.0,0.0,,8.215510510438504,14.251949038020804,0.55,0.48,0,0,0,0,2,1
2018-11-02,0.05855388692533876,0.4514827267463909,BASELINE,1.0,0.0,,8.215510510438504,14.251949038020804,0.55,0.48,0,0,0,0,2,1
2018-11-09,0.05560804945775567,0.45783877871971135,BASELINE,1.0,0.0,,8.215510510438504,14.251949038020804,0.55,0.48,0,0,0,0,2,1
2018-11-16,0.03212548290966766,0.4914731865007427,BASELINE,1.0,0.0,,8.215510510438504,14.251949038020804,0.55,0.48,0,0,0,0,2,1
2018-11-23,0.008014472810236435,0.5859038943148919,RECOVERY_OVERRIDE,1.0,0.7339246301074044,,8.215510510438504,14.251949038020804,0.55,0.48,1,1,0,0,3,1
2018-11-30,0.006481588223236167,0.49704999421362017,BASELINE,1.0,0.0,,8.215510510438504,14.251949038020804,0.55,0.48,0,0,0,0,2,1
2018-12-07,0.0014315304948216338,0.46677960126315005,BASELINE,1.0,0.0,,8.215510510438504,14.251949038020804,0.55,0.48,0,0,0,0,2,1
2018-12-14,0.0029762510602205257,0.4510142796928027,BASELINE,1.0,0.0,,8.215510510438504,14.251949038020804,0.55,0.48,0,0,0,0,2,1
2018-12-21,0.0030863044012785835,0.5418752010909487,RECOVERY_OVERRIDE,1.0,0.7196863878434859,,8.215510510438504,14.251949038020804,0.55,0.48,1,1,0,0,3,1
2018-12-28,0.010273118807207859,0.5103696277225168,RECOVERY_OVERRIDE,1.0,0.7087310898847168,,8.215510510438504,14.251949038020804,0.55,0.48,1,1,0,0,3,1
2019-01-04,0.007336628447869831,0.514512997597852,RECOVERY_OVERRIDE,1.0,0.750511282151234,,7.7272005176417435,12.710817763694157,0.65,0.48,1,1,0,0,3,2
2019-01-11,0.010566487173688192,0.5202071567472109,RECOVERY_OVERRIDE,1.0,0.7533583617259134,,7.7272005176417435,12.710817763694157,0.65,0.48,1,1,0,0,3,2
2019-01-18,0.016533431358732024,0.5545376010221312,RECOVERY_OVERRIDE,1.0,0.7725883556274925,,7.7272005176417435,12.710817763694157,0.65,0.48,1,1,0,0,4,2
2019-01-25,0.03949165046587107,0.58788682214749,RECOVERY_OVERRIDE,1.0,0.7538211804698625,,7.7272005176417435,12.710817763694157,0.65,0.48,1,1,0,0,4,2
2019-02-01,0.021464974636342667,0.5887209459064912,RECOVERY_OVERRIDE,1.0,0.7474849699092869,,7.7272005176417435,12.710817763694157,0.65,0.48,1,1,0,0,4,2
2019-02-08,0.015283833129398355,0.6055488971124895,RECOVERY_OVERRIDE,1.0,0.7532564589275158,,7.7272005176417435,12.710817763694157,0.65,0.48,1,1,0,0,4,2
2019-02-15,0.010963600666518672,0.5750232145054596,RECOVERY_OVERRIDE,1.0,0.7388689596003153,,7.7272005176417435,12.710817763694157,0.65,0.48,1,1,0,0,3,2
2019-02-22,0.047277484031399974,0.5272586901244947,RECOVERY_OVERRIDE,1.0,0.6702438161072755,,7.7272005176417435,12.710817763694157,0.65,0.48,1,1,0,0,3,2
2019-03-01,0.19132014320854024,0.520166321287075,RECOVERY_OVERRIDE,1.0,0.589592142027894,,7.7272005176417435,12.710817763694157,0.65,0.48,1,1,0,0,3,2
2019-03-08,0.22433018728987336,0.5766779749673614,RECOVERY_OVERRIDE,1.0,0.5619837594190279,,7.7272005176417435,12.710817763694157,0.65,0.48,1,1,0,0,3,2
2019-03-15,0.4285870906078906,0.42222009738956306,BASELINE,1.0,0.0,,7.7272005176417435,12.710817763694157,0.65,0.48,0,0,0,0,3,2
2019-03-22,0.5931644667245227,0.43934901243764773,BASELINE,1.0,0.0,,7.7272005176417435,12.710817763694157,0.65,0.48,0,0,0,0,3,2
2019-03-29,0.5887803201577395,0.344425990877042,BASELINE,1.0,0.0,,7.7272005176417435,12.710817763694157,0.65,0.48,0,0,0,0,4,2
2019-04-05,0.6489686213178595,0.22141927888025872,BASELINE,1.0,0.0,,7.7272005176417435,12.710817763694157,0.65,0.48,0,0,0,0,4,2
2019-04-12,0.6728505542341343,0.2538401243275342,DEFENSIVE_LIGHT,0.9,0.0,,7.7272005176417435,12.710817763694157,0.65,0.48,0,0,1,0,3,2
2019-04-26,0.5501178963586205,0.24195249651445958,BASELINE,1.0,0.0,,7.7272005176417435,12.710817763694157,0.65,0.48,0,0,0,0,3,2
2019-05-03,0.5586271595424658,0.24831013059408608,BASELINE,1.0,0.0,,7.7272005176417435,12.710817763694157,0.65,0.48,0,0,0,0,3,2
2019-05-10,0.5949080346397189,0.44277123313879363,BASELINE,1.0,0.0,,7.7272005176417435,12.710817763694157,0.65,0.48,0,0,0,0,3,2
2019-05-17,0.6118412526603929,0.5016326112910267,BASELINE,1.0,0.0,,7.7272005176417435,12.710817763694157,0.65,0.48,1,0,0,0,3,2
2019-05-24,0.39428835517913297,0.5181826385150017,RECOVERY_OVERRIDE,1.0,0.41909131925750087,,7.7272005176417435,12.710817763694157,0.65,0.48,1,1,0,0,3,2
2019-05-31,0.34295333194820976,0.5432837858201424,BASELINE,1.0,0.0,,7.7272005176417435,12.710817763694157,0.65,0.48,0,0,0,0,2,2
2019-06-07,0.34072059491799006,0.4526739294198453,BASELINE,1.0,0.0,,7.7272005176417435,12.710817763694157,0.65,0.48,0,0,0,0,3,2
2019-06-14,0.42992318360399984,0.4968978870262061,BASELINE,1.0,0.0,,7.7272005176417435,12.710817763694157,0.65,0.48,0,0,0,1,2,2
2019-06-21,0.44849143250961826,0.43964241797471837,BASELINE,1.0,0.0,,7.7272005176417435,12.710817763694157,0.65,0.48,0,0,0,0,3,2
2019-06-28,0.4334881303280567,0.4333555279120963,BASELINE,1.0,0.0,,7.7272005176417435,12.710817763694157,0.65,0.48,0,0,0,0,3,2
2019-07-05,0.4498865271937689,0.2724170834815972,BASELINE,1.0,0.0,,7.7272005176417435,12.710817763694157,0.65,0.48,0,0,0,0,3,2
2019-07-12,0.5414425621087495,0.25025873862859305,BASELINE,1.0,0.0,,7.7272005176417435,12.710817763694157,0.65,0.48,0,0,0,0,3,2
2019-07-19,0.6327463685104177,0.26065991334295197,BASELINE,1.0,0.0,,7.7272005176417435,12.710817763694157,0.65,0.48,0,0,0,1,3,2
2019-07-26,0.634472176276349,0.23587638636684258,BASELINE,1.0,0.0,,7.7272005176417435,12.710817763694157,0.65,0.48,0,0,0,0,3,2
2019-08-02,0.5631117717966664,0.4382725272842521,BASELINE,1.0,0.0,,7.7272005176417435,12.710817763694157,0.65,0.48,0,0,0,0,2,2
2019-08-09,0.23491025526286863,0.48772249716529176,BASELINE,1.0,0.0,,7.7272005176417435,12.710817763694157,0.65,0.48,0,0,0,0,2,2
2019-08-16,0.2564441558846726,0.522699625057318,BASELINE,1.0,0.0,,7.7272005176417435,12.710817763694157,0.65,0.48,0,0,0,0,2,2
2019-08-23,0.09294012327305959,0.5465535547011688,RECOVERY_OVERRIDE,1.0,0.589259379229735,,7.7272005176417435,12.710817763694157,0.65,0.48,1,1,0,0,3,2
2019-08-30,0.05036749310130539,0.4651496906913438,BASELINE,1.0,0.0,,7.7272005176417435,12.710817763694157,0.65,0.48,0,0,0,0,3,2
2019-09-06,0.03963101955363,0.4659346083061056,BASELINE,1.0,0.0,,7.7272005176417435,12.710817763694157,0.65,0.48,0,0,0,0,3,2
2019-09-13,0.052374404395054384,0.42982222998260877,BASELINE,1.0,0.0,,7.7272005176417435,12.710817763694157,0.65,0.48,0,0,0,0,3,2
2019-09-20,0.09590303383058935,0.5107487706341476,BASELINE,1.0,0.0,,7.7272005176417435,12.710817763694157,0.65,0.48,0,0,0,1,2,2
2019-09-27,0.3917780045354727,0.5129842350741862,BASELINE,1.0,0.0,,7.7272005176417435,12.710817763694157,0.65,0.48,0,0,0,1,2,2
2019-10-04,0.42454854205331827,0.5607681466894598,BASELINE,1.0,0.0,,7.7272005176417435,12.710817763694157,0.65,0.48,0,0,0,1,3,2
2019-10-11,0.3890214505733032,0.5416134209309779,BASELINE,1.0,0.0,,7.7272005176417435,12.710817763694157,0.65,0.48,0,0,0,1,2,2
2019-10-18,0.3765033743114364,0.4457894972422589,BASELINE,1.0,0.0,,7.7272005176417435,12.710817763694157,0.65,0.48,0,0,0,0,2,2
2019-10-25,0.39707143707201303,0.3552492837272141,BASELINE,1.0,0.0,,7.7272005176417435,12.710817763694157,0.65,0.48,0,0,0,0,3,2
2019-11-01,0.5569455194551295,0.3234449933032458,BASELINE,1.0,0.0,,7.7272005176417435,12.710817763694157,0.65,0.48,0,0,0,0,3,2
2019-11-08,0.5842780744587607,0.22879826602574646,BASELINE,1.0,0.0,,7.7272005176417435,12.710817763694157,0.65,0.48,0,0,0,0,3,2
2019-11-15,0.6626647838673696,0.22061396712271902,DEFENSIVE_LIGHT,0.9,0.0,,7.7272005176417435,12.710817763694157,0.65,0.48,0,0,1,0,2,2
2019-11-22,0.6210610346957604,0.2765309166797268,BASELINE,1.0,0.0,,7.7272005176417435,12.710817763694157,0.65,0.48,0,0,0,0,3,2
2019-11-29,0.6323556171457455,0.2574969740014959,BASELINE,1.0,0.0,,7.7272005176417435,12.710817763694157,0.65,0.48,0,0,0,0,3,2
2019-12-06,0.6854840568437571,0.25761865218809293,DEFENSIVE_LIGHT,0.9,0.0,,7.7272005176417435,12.710817763694157,0.65,0.48,0,0,1,0,2,2
2019-12-13,0.6705061590920941,0.2274019085871038,DEFENSIVE_LIGHT,0.9,0.0,,7.7272005176417435,12.710817763694157,0.65,0.48,0,0,1,0,4,2
2019-12-20,0.5910680968913576,0.19963163430084063,BASELINE,1.0,0.0,,7.7272005176417435,12.710817763694157,0.65,0.48,0,0,0,0,4,2
2019-12-27,0.6389605652573901,0.22803193886977136,BASELINE,1.0,0.0,,7.7272005176417435,12.710817763694157,0.65,0.48,0,0,0,0,4,2
2020-01-03,0.6047776210722406,0.2695321479735272,BASELINE,1.0,0.0,,7.7272005176417435,12.710817763694157,0.65,0.48,0,0,0,0,4,2
2020-01-10,0.5345400142284124,0.22636623433879627,BASELINE,1.0,0.0,,7.7272005176417435,12.710817763694157,0.65,0.48,0,0,0,0,4,2
2020-01-17,0.436928837153139,0.2658230512666571,BASELINE,1.0,0.0,,7.7272005176417435,12.710817763694157,0.65,0.48,0,0,0,0,4,2
2020-01-24,0.5126368870602332,0.33040861637722607,BASELINE,1.0,0.0,,7.7272005176417435,12.710817763694157,0.65,0.48,0,0,0,0,4,2
2020-01-31,0.5063243956015082,0.4665262034727796,BASELINE,1.0,0.0,,7.7272005176417435,12.710817763694157,0.65,0.48,0,0,0,0,4,2
2020-02-07,0.5985454087089922,0.35709558428833854,BASELINE,1.0,0.0,,7.7272005176417435,12.710817763694157,0.65,0.48,0,0,0,0,4,2
2020-02-14,0.5897249662113283,0.21924568891136714,BASELINE,1.0,0.0,,7.7272005176417435,12.710817763694157,0.65,0.48,0,0,0,0,4,2
2020-02-21,0.6036561851985267,0.46192392063496435,BASELINE,1.0,0.0,,7.7272005176417435,12.710817763694157,0.65,0.48,0,0,0,0,4,2
2020-02-28,0.2969265745891847,0.5064591981612024,BASELINE,1.0,0.0,,7.7272005176417435,12.710817763694157,0.65,0.48,1,0,0,0,4,2
2020-03-06,0.08567111934790911,0.526575122206397,RECOVERY_OVERRIDE,1.0,0.5341231546054862,,7.7272005176417435,12.710817763694157,0.65,0.48,1,1,0,0,5,2
2020-03-13,0.031180915956119642,0.5611021047377451,RECOVERY_OVERRIDE,1.0,0.6778427622410849,,7.7272005176417435,12.710817763694157,0.65,0.48,1,1,0,0,4,2
2020-03-20,0.01066033228046307,0.5341194448528988,RECOVERY_OVERRIDE,1.0,0.7195063139823745,,7.7272005176417435,12.710817763694157,0.65,0.48,1,1,0,0,3,2
2020-03-27,0.024048966694265213,0.5514333155148003,RECOVERY_OVERRIDE,1.0,0.7689714411097082,,7.7272005176417435,12.710817763694157,0.65,0.48,1,1,0,0,3,2
2020-04-03,0.018906378778355194,0.5848370080095248,RECOVERY_OVERRIDE,1.0,0.7856732873570703,,7.7272005176417435,12.710817763694157,0.65,0.48,1,1,0,0,3,2
2020-04-17,0.053701941500177985,0.49812091410434467,RECOVERY_OVERRIDE,1.0,0.7584266399231302,,7.7272005176417435,12.710817763694157,0.65,0.48,1,1,0,0,4,2
2020-04-24,0.06420590017517992,0.5192869441241679,RECOVERY_OVERRIDE,1.0,0.7651161281095914,,7.7272005176417435,12.710817763694157,0.65,0.48,1,1,0,0,4,2
