date,corr_rho,corr_scale,corr_state
2016-01-11,0.5521425455223399,1.0,0
2016-01-12,0.5295972463307528,1.0,0
2016-01-13,0.5442008891525456,1.0,0
2016-01-14,0.5683988742320429,1.0,0
2016-01-15,0.5993805697125607,1.0,0
2016-01-19,0.6459284998914987,1.0,0
2016-01-20,0.6384224490447827,1.0,0
2016-01-21,0.6352284763702741,1.0,0
2016-01-22,0.6162684289227778,1.0,0
2016-01-25,0.6191959262618068,1.0,0
2016-01-26,0.6192827649104228,1.0,0
2016-01-27,0.6214435224108427,1.0,0
2016-01-28,0.6228536072869013,1.0,0
2016-01-29,0.4776621151014722,1.0,0
2016-02-01,0.43972337835191355,1.0,0
2016-02-02,0.437164230908286,1.0,0
2016-02-03,0.43689517952226187,1.0,0
2016-02-04,0.4149475802359913,1.0,0
2016-02-05,0.40811497573167277,1.0,0
2016-02-08,0.45780887061042486,1.0,0
2016-02-09,0.42826464938301617,1.0,0
2016-02-10,0.4197870501565958,1.0,0
2016-02-11,0.4196892000022124,1.0,0
2016-02-12,0.40878051808935334,1.0,0
2016-02-16,0.3895443452712087,1.0,0
2016-02-17,0.3919299848810467,1.0,0
2016-02-18,0.4004713590505749,1.0,0
2016-02-19,0.4071131538921588,1.0,0
2016-02-22,0.4022893161818904,1.0,0
2016-02-23,0.42281714601454784,1.0,0
2016-02-24,0.42676568861086156,1.0,0
2016-02-25,0.42377492668297245,1.0,0
2016-02-26,0.4215438483484734,1.0,0
2016-02-29,0.4095679366914159,1.0,0
2016-03-01,0.5034533188307196,1.0,0
2016-03-02,0.5985001859961551,1.0,0
2016-03-03,0.606788384099554,1.0,0
2016-03-04,0.6103005756820469,1.0,0
2016-03-07,0.6414012861369031,1.0,0
2016-03-08,0.6545626610389271,1.0,0
2016-03-09,0.5602960340403398,1.0,0
2016-03-10,0.5532940818556092,1.0,0
2016-03-11,0.5619331303029944,1.0,0
2016-03-14,0.5843336950781637,1.0,0
2016-03-15,0.5902278425301448,1.0,0
2016-03-16,0.5862067459727887,1.0,0
2016-03-17,0.5889934466381168,1.0,0
2016-03-18,0.5236631221750331,1.0,0
2016-03-21,0.5125503800115857,1.0,0
2016-03-22,0.5224967214724906,1.0,0
2016-03-23,0.5102449222544082,1.0,0
2016-03-24,0.44671821572041076,1.0,0
2016-03-28,0.4371699746140109,1.0,0
2016-03-29,0.46186365678125857,1.0,0
2016-03-30,0.4875085224075039,1.0,0
2016-03-31,0.45410809326365126,1.0,0
2016-04-01,0.27962499129330487,1.0,0
2016-04-04,0.296748164416964,1.0,0
2016-04-05,0.30467807126420604,1.0,0
2016-04-06,0.33847666889303474,1.0,0
2016-04-07,0.34890310142018643,1.0,0
2016-04-08,0.37236781981591605,1.0,0
2016-04-11,0.35908194921255004,1.0,0
2016-04-12,0.36797853397757485,1.0,0
2016-04-13,0.3338911270987788,1.0,0
2016-04-14,0.3830178652589048,1.0,0
2016-04-15,0.3913636934090576,1.0,0
2016-04-18,0.37916930089182177,1.0,0
2016-04-19,0.36853600811473136,1.0,0
2016-04-20,0.3944570733142289,1.0,0
2016-04-21,0.3885687769771389,1.0,0
2016-04-22,0.3827556655592909,1.0,0
2016-04-25,0.32709043720346676,1.0,0
2016-04-26,0.33319000929788606,1.0,0
2016-04-27,0.31058051800487924,1.0,0
2016-04-28,0.25087881568573117,1.0,0
2016-04-29,0.22824043270963823,1.0,0
2016-05-02,0.16222362644917354,1.0,0
2016-05-03,0.16785225263885784,1.0,0
2016-05-04,0.1628477819622418,1.0,0
2016-05-05,0.15464869804263784,1.0,0
2016-05-06,0.13152439122322868,1.0,0
2016-05-09,0.12884346328121063,1.0,0
2016-05-10,0.1295633114749789,1.0,0
2016-05-11,0.17047180171582252,1.0,0
2016-05-12,0.1688570315245122,1.0,0
2016-05-13,0.12661163858350297,1.0,0
2016-05-16,0.12694802134237163,1.0,0
2016-05-17,0.15213995289032622,1.0,0
2016-05-18,0.15569127750882253,1.0,0
2016-05-19,0.19461862529785753,1.0,0
2016-05-20,0.17686691897878112,1.0,0
2016-05-23,0.21054734959016577,1.0,0
2016-05-24,0.2245818440559763,1.0,0
2016-05-25,0.27358695304094177,1.0,0
2016-05-26,0.29997038883496563,1.0,0
2016-05-27,0.29941094408129765,1.0,0
2016-05-31,0.35243803719235967,1.0,0
2016-06-01,0.4246321162085983,1.0,0
2016-06-02,0.4225766981444093,1.0,0
2016-06-03,0.39342704751772495,1.0,0
2016-06-06,0.4066778860363255,1.0,0
2016-06-07,0.4074937326577964,1.0,0
2016-06-08,0.42103274610361263,1.0,0
2016-06-09,0.4070710015514904,1.0,0
2016-06-10,0.36608270262785564,1.0,0
2016-06-13,0.4157129641440933,1.0,0
2016-06-14,0.4456148203771198,1.0,0
2016-06-15,0.4387032415992938,1.0,0
2016-06-16,0.43557030385760226,1.0,0
