weight_cap,k_atr,turb_zscore_thr,turb_scale_min,vol_target_ann,fold,score_val,VAL_Sharpe,VAL_CAGR%,VAL_MaxDD%,VAL_SR_tstat,p_value,q_value,significant_5pct,significant_10pct,SR_above_HLZ_tmin,stat_label
0.55,2.0,1.5,0.25,0.3,1,1.435637279783965,1.6881,35.683,-11.258,2.381,0.01728,0.090994,False,True,False,sig@10%_FDR_support
0.65,2.0,1.5,0.4,0.25,1,1.433067756601388,1.6778,33.964,-10.507,2.366,0.01797,0.090994,False,True,False,sig@10%_FDR_support
0.55,2.0,1.5,0.4,0.25,1,1.4324198984384495,1.6772,33.951,-10.507,2.365,0.01801,0.090994,False,True,False,sig@10%_FDR_support
0.55,2.5,1.0,0.25,0.3,1,1.431816265010671,1.7035,38.533,-13.204,2.402,0.0163,0.090994,False,True,False,sig@10%_FDR_support
0.65,2.5,1.0,0.25,0.3,1,1.4312855171128218,1.703,38.521,-13.204,2.402,0.01633,0.090994,False,True,False,sig@10%_FDR_support
0.65,2.0,1.5,0.25,0.25,1,1.421734269437876,1.6734,33.453,-10.507,2.36,0.01827,0.090994,False,True,False,sig@10%_FDR_support
0.55,2.5,1.0,0.4,0.25,1,1.421636777007596,1.6769,35.416,-11.969,2.365,0.01803,0.090994,False,True,False,sig@10%_FDR_support
0.55,2.0,1.5,0.25,0.25,1,1.4213712671429026,1.6731,33.446,-10.507,2.36,0.01829,0.090994,False,True,False,sig@10%_FDR_support
0.65,2.5,1.0,0.4,0.25,1,1.4207038401754808,1.6762,35.397,-11.969,2.364,0.01808,0.090994,False,True,False,sig@10%_FDR_support
0.65,2.0,1.0,0.4,0.35,1,1.4199497823410105,1.7296,35.978,-11.643,2.439,0.01473,0.090994,False,True,False,sig@10%_FDR_support
0.55,2.0,1.0,0.4,0.35,1,1.4193351273142931,1.7291,35.965,-11.643,2.438,0.01477,0.090994,False,True,False,sig@10%_FDR_support
0.55,2.5,1.0,0.25,0.25,1,1.4020245396388644,1.6675,34.616,-11.969,2.352,0.01869,0.090994,False,True,False,sig@10%_FDR_support
0.65,2.5,1.0,0.25,0.25,1,1.4014530163548657,1.667,34.605,-11.969,2.351,0.01872,0.090994,False,True,False,sig@10%_FDR_support
0.65,2.0,1.0,0.25,0.35,1,1.3829861327771065,1.7066,34.906,-11.643,2.407,0.0161,0.090994,False,True,False,sig@10%_FDR_support
0.55,2.0,1.0,0.25,0.35,1,1.3826053137463914,1.7063,34.897,-11.643,2.406,0.01612,0.090994,False,True,False,sig@10%_FDR_support
0.65,2.0,1.0,0.4,0.3,1,1.3816319613906598,1.7031,34.137,-11.256,2.402,0.01632,0.090994,False,True,False,sig@10%_FDR_support
0.55,2.0,1.0,0.4,0.3,1,1.3810038398032396,1.7025,34.123,-11.256,2.401,0.01636,0.090994,False,True,False,sig@10%_FDR_support
0.65,2.0,1.0,0.4,0.25,1,1.367994694066266,1.6925,31.934,-10.462,2.387,0.017,0.090994,False,True,False,sig@10%_FDR_support
0.55,2.0,1.0,0.4,0.25,1,1.3673353787148956,1.6919,31.921,-10.462,2.386,0.01703,0.090994,False,True,False,sig@10%_FDR_support
0.65,2.0,1.0,0.25,0.3,1,1.34469590772395,1.6798,33.079,-11.256,2.369,0.01784,0.090994,False,True,False,sig@10%_FDR_support
0.55,2.0,1.0,0.25,0.3,1,1.3443066161954533,1.6794,33.07,-11.256,2.368,0.01786,0.090994,False,True,False,sig@10%_FDR_support
0.65,2.0,1.0,0.25,0.25,1,1.3313229666966455,1.6691,30.893,-10.462,2.354,0.01857,0.090994,False,True,False,sig@10%_FDR_support
0.55,2.0,1.0,0.25,0.25,1,1.3309141855477034,1.6687,30.885,-10.462,2.353,0.0186,0.090994,False,True,False,sig@10%_FDR_support
0.65,2.0,1.0,0.25,0.25,2,0.28369043095342594,1.1077,15.783,-9.449,1.562,0.11839,0.888896,False,False,False,econ_strong_stat_weak
0.65,2.0,1.0,0.25,0.3,2,0.27600064740104097,1.1036,15.784,-9.669,1.556,0.11977,0.888896,False,False,False,econ_strong_stat_weak
0.65,2.0,1.0,0.25,0.35,2,0.27600064740104097,1.1036,15.784,-9.669,1.556,0.11977,0.888896,False,False,False,econ_strong_stat_weak
0.65,2.0,1.0,0.4,0.25,2,0.27444514765143146,1.1295,16.449,-11.051,1.592,0.11134,0.888896,False,False,False,econ_strong_stat_weak
0.65,2.0,1.0,0.4,0.3,2,0.2725150597305568,1.1255,16.45,-11.051,1.587,0.11262,0.888896,False,False,False,econ_strong_stat_weak
0.65,2.0,1.0,0.4,0.35,2,0.2725150597305568,1.1255,16.45,-11.051,1.587,0.11262,0.888896,False,False,False,econ_strong_stat_weak
0.55,2.0,1.0,0.25,0.25,2,0.27025525916285237,1.0944,15.543,-9.449,1.543,0.12288,0.888896,False,False,False,econ_strong_stat_weak
0.65,2.0,1.5,0.25,0.25,2,0.2685630253494843,1.0762,15.977,-9.464,1.517,0.12922,0.888896,False,False,False,econ_strong_stat_weak
0.65,2.0,1.5,0.25,0.35,2,0.2640196513004246,1.0759,16.064,-9.735,1.517,0.12931,0.888896,False,False,False,econ_strong_stat_weak
0.65,2.0,1.5,0.25,0.3,2,0.2640196513004246,1.0759,16.064,-9.735,1.517,0.12931,0.888896,False,False,False,econ_strong_stat_weak
0.55,2.0,1.0,0.25,0.3,2,0.2626797426977361,1.0903,15.544,-9.669,1.537,0.12427,0.888896,False,False,False,econ_strong_stat_weak
0.55,2.0,1.0,0.25,0.35,2,0.2626797426977361,1.0903,15.544,-9.669,1.537,0.12427,0.888896,False,False,False,econ_strong_stat_weak
0.55,2.0,1.0,0.4,0.25,2,0.2621291984397601,1.117,16.217,-11.051,1.575,0.11537,0.888896,False,False,False,econ_strong_stat_weak
0.55,2.0,1.0,0.4,0.3,2,0.2602239940492443,1.1129,16.218,-11.051,1.569,0.11667,0.888896,False,False,False,econ_strong_stat_weak
0.55,2.0,1.0,0.4,0.35,2,0.2602239940492443,1.1129,16.218,-11.051,1.569,0.11667,0.888896,False,False,False,econ_strong_stat_weak
0.55,2.0,1.5,0.25,0.25,2,0.2553867977773556,1.0633,15.733,-9.464,1.499,0.13386,0.888896,False,False,False,econ_strong_stat_weak
0.55,2.0,1.5,0.25,0.3,2,0.25097776531544874,1.0631,15.82,-9.735,1.499,0.13393,0.888896,False,False,False,econ_strong_stat_weak
0.55,2.0,1.5,0.25,0.35,2,0.25097776531544874,1.0631,15.82,-9.735,1.499,0.13393,0.888896,False,False,False,econ_strong_stat_weak
0.65,2.0,1.5,0.4,0.3,2,0.24265115742745785,1.0791,16.339,-11.066,1.521,0.12818,0.888896,False,False,False,econ_strong_stat_weak
0.65,2.0,1.5,0.4,0.35,2,0.24265115742745785,1.0791,16.339,-11.066,1.521,0.12818,0.888896,False,False,False,econ_strong_stat_weak
0.65,2.0,1.5,0.4,0.25,2,0.24028450408054347,1.0793,16.252,-11.066,1.522,0.12812,0.888896,False,False,False,econ_strong_stat_weak
0.55,2.0,1.5,0.4,0.3,2,0.23026863153595084,1.0666,16.097,-11.066,1.504,0.13266,0.888896,False,False,False,econ_strong_stat_weak
0.55,2.0,1.5,0.4,0.35,2,0.23026863153595084,1.0666,16.097,-11.066,1.504,0.13266,0.888896,False,False,False,econ_strong_stat_weak
0.55,2.0,1.5,0.4,0.25,2,0.2278762241766113,1.0667,16.01,-11.066,1.504,0.13262,0.888896,False,False,False,econ_strong_stat_weak
0.65,3.0,1.0,0.4,0.35,2,0.19495373924121756,1.0719,17.993,-16.926,1.511,0.13074,0.888896,False,False,False,econ_strong_stat_weak
0.55,3.0,1.0,0.4,0.35,2,0.1836153788885426,1.0582,17.777,-16.926,1.492,0.13574,0.888896,False,False,False,econ_strong_stat_weak
0.65,3.0,1.0,0.4,0.3,2,0.18041947318368495,1.0597,17.61,-16.926,1.494,0.13516,0.888896,False,False,False,econ_strong_stat_weak
0.65,3.0,1.5,0.4,0.35,2,0.1736492633654675,1.0351,18.006,-16.998,1.459,0.14444,0.888896,False,False,False,econ_strong_stat_weak
0.55,3.0,1.0,0.4,0.3,2,0.1690663569508376,1.0459,17.395,-16.926,1.475,0.14033,0.888896,False,False,False,econ_strong_stat_weak
0.65,3.0,1.0,0.4,0.25,2,0.16784956776334403,1.0491,17.254,-16.86,1.479,0.1391,0.888896,False,False,False,econ_strong_stat_weak
0.55,3.0,1.5,0.4,0.35,2,0.1622028693851684,1.0216,17.773,-16.998,1.44,0.14977,0.888896,False,False,False,econ_strong_stat_weak
0.65,3.0,1.5,0.25,0.35,2,0.16195903354391197,1.0211,17.515,-16.411,1.44,0.14993,0.888896,False,False,False,econ_strong_stat_weak
0.65,3.0,1.5,0.4,0.3,2,0.15939435799251872,1.0231,17.628,-16.998,1.442,0.14917,0.888896,False,False,False,econ_strong_stat_weak
0.55,3.0,1.0,0.4,0.25,2,0.15646318142101073,1.0352,17.039,-16.86,1.459,0.14443,0.888896,False,False,False,econ_strong_stat_weak
0.65,3.0,1.5,0.25,0.3,2,0.15349079472092286,1.0089,17.138,-15.811,1.423,0.15486,0.888896,False,False,False,econ_strong_stat_weak
0.65,2.5,1.0,0.4,0.35,2,0.15304306214854557,1.0268,15.856,-14.714,1.448,0.14771,0.888896,False,False,False,econ_strong_stat_weak
0.65,2.5,1.0,0.4,0.3,2,0.1509882687052824,1.0278,15.763,-14.714,1.449,0.14731,0.888896,False,False,False,econ_strong_stat_weak
0.55,3.0,1.5,0.25,0.35,2,0.15059902889419174,1.0076,17.287,-16.411,1.421,0.15539,0.888896,False,False,False,econ_strong_stat_weak
0.55,3.0,1.5,0.4,0.3,2,0.14793725991701534,1.0094,17.396,-16.998,1.423,0.15466,0.888896,False,False,False,econ_strong_stat_weak
0.65,2.5,1.0,0.4,0.25,2,0.14681253562948826,1.0272,15.619,-14.714,1.448,0.14756,0.888896,False,False,False,econ_strong_stat_weak
0.65,3.0,1.5,0.4,0.25,2,0.14673940651186076,1.0122,17.267,-16.93,1.427,0.15352,0.888896,False,False,False,econ_strong_stat_weak
0.65,3.0,1.5,0.25,0.25,2,0.14541207545539753,0.9979,16.778,-15.287,1.407,0.1594,0.888896,False,False,False,econ_strong_stat_weak
0.55,3.0,1.5,0.25,0.3,2,0.14204105687051793,0.9953,16.911,-15.811,1.403,0.16049,0.888896,False,False,False,econ_strong_stat_weak
0.65,3.0,1.0,0.25,0.35,2,0.1383244706791101,1.0103,16.488,-16.401,1.425,0.1543,0.888896,False,False,False,econ_strong_stat_weak
0.55,3.0,1.5,0.4,0.25,2,0.13520212588372058,0.9984,17.034,-16.93,1.408,0.1592,0.888896,False,False,False,econ_strong_stat_weak
0.65,2.5,1.5,0.25,0.35,2,0.1346294749165767,0.9703,15.313,-12.714,1.368,0.17123,0.888896,False,False,False,econ_strong_stat_weak
0.55,3.0,1.5,0.25,0.25,2,0.13381510496093596,0.9842,16.551,-15.287,1.388,0.16521,0.888896,False,False,False,econ_strong_stat_weak
0.55,2.5,1.0,0.4,0.35,2,0.13142802607305057,1.0029,15.43,-14.714,1.414,0.15734,0.888896,False,False,False,econ_strong_stat_weak
0.65,2.5,1.5,0.25,0.3,2,0.13052567809989854,0.9696,15.179,-12.714,1.367,0.17157,0.888896,False,False,False,econ_strong_stat_weak
0.55,2.5,1.0,0.4,0.3,2,0.1292993834791589,1.0037,15.337,-14.714,1.415,0.15699,0.888896,False,False,False,econ_strong_stat_weak
0.65,3.0,1.0,0.25,0.3,2,0.12907589323143287,0.9976,16.11,-15.807,1.407,0.15956,0.888896,False,False,False,econ_strong_stat_weak
