date,avg_corr_21,avg_corr_63,xs_disp_5d,xs_disp_21d,breadth_63d,qqq_ret_5d,qqq_ret_21d,qqq_drawdown,qqq_vol_21,vix_level,vix_z_63,qqq_above_ema20,trend_mean,mom_mean,rel_mean,rel_top_mean,rel_minus_mom,rel_minus_trend,n_members
2014-12-12,0.20929717926640043,0.37323148483779045,0.03432391512486771,0.056496560729153475,0.7,-0.025716189070489448,0.0020503671139298074,-0.031506200632921644,0.10410696944166471,21.079999923706055,1.6783655455032944,0.0,0.75,0.5433675748552089,0.4687986968801094,0.5247231976822261,-0.07456887797509953,-0.2812013031198906,10.0
2014-12-19,0.3763119776925611,0.4080963690182241,0.01997410960339529,0.05245073226335274,0.7,0.019856533067422744,0.014521033923723392,-0.012275271480195249,0.15990445789761537,16.489999771118164,0.13348554584502195,1.0,0.75,0.5395744356724645,0.4687110538870821,0.5248613012970206,-0.07086338178538243,-0.2812889461129179,10.0
2014-12-26,0.39535934441678877,0.39130742496109655,0.01608268513035433,0.044813262985361084,0.7,0.011332768194726839,0.005641477280750262,-0.005457768274242825,0.15960193271765757,14.5,-0.4474095346238928,1.0,0.75,0.5476366214199592,0.4758836522034592,0.5292322901508552,-0.07175296921649998,-0.2741163477965408,10.0
2015-01-02,0.4564027333551582,0.39198188167773984,0.018966882169708862,0.04284527582751672,0.7,-0.013039848430093315,-0.01811731080259127,-0.02534173421277297,0.1571632194607112,17.790000915527344,0.49416649141659325,0.0,0.725,0.5551951790363613,0.4808354670262863,0.5475913071222274,-0.07435971201007496,-0.24416453297371365,10.0
2015-01-09,0.5456518018526374,0.36148740046814737,0.03517826979474217,0.03184718258576179,0.7,-0.003108282547519936,-0.018650992718346027,-0.028371247490115437,0.19006036421392236,17.549999237060547,0.3524072792741668,0.0,0.725,0.554115097107081,0.47998937980134126,0.5619258425545278,-0.07412571730573969,-0.2450106201986587,10.0
2015-01-16,0.4948564941880863,0.3926279901629769,0.033628165359368356,0.031074689226143693,0.7,-0.0175402191285966,0.012159156076109179,-0.04541382872078381,0.17981643575549766,20.950000762939453,1.5712392274086746,0.0,0.7,0.5480631327442291,0.48565938301033607,0.5771246966060133,-0.062403749733893066,-0.2143406169896639,10.0
2015-01-23,0.510568495111918,0.3630737921847246,0.0937303546327357,0.09737847251593329,0.7,0.04626200710912154,-0.003060013244052917,-0.01284342289811824,0.16168557187729646,16.65999984741211,0.20647174369123225,1.0,0.7,0.576790143825791,0.5054048521579144,0.5675464045989425,-0.07138529166787655,-0.19459514784208554,10.0
2015-01-30,0.34312054677467124,0.31860665960277507,0.0737327927160345,0.11851142374762555,0.8,-0.03030877162420209,-0.03086654995093774,-0.04276292615082833,0.18703987213785284,20.969999313354492,1.4868773173542547,0.0,0.7,0.5751315994905444,0.5155502144165738,0.5918430334187194,-0.059581385073970594,-0.18444978558342617,10.0
2015-02-06,0.26414679430331667,0.3092852283620147,0.0268553269748306,0.12890718343760607,0.7,0.020078891810200616,0.01746217168455555,-0.023542666508297616,0.17418914410343464,17.290000915527344,0.2402343282203219,1.0,0.775,0.5901574928340197,0.5211249093919813,0.5994976378019982,-0.06903258344203844,-0.2538750906080187,10.0
2015-02-13,0.2522775783101758,0.321220719818202,0.024589767500785065,0.14268817969373254,0.8,0.036652675331636964,0.05893403997268032,0.0,0.1660344351736819,14.6899995803833,-0.7039814851202549,1.0,0.85,0.5892796067335528,0.5239864502370004,0.6006650901575602,-0.06529315649655243,-0.32601354976299957,10.0
