date,avg_corr_21,avg_corr_63,xs_disp_5d,xs_disp_21d,breadth_63d,qqq_vol_21,qqq_vol_63,qqq_ret_5d,qqq_ret_21d,qqq_drawdown,vix_level,vix_chg_5d,vix_z_63,crisis_state,turb_scale,corr_rho,corr_scale,trend_mean,mom_mean,rel_mean,trend_top_mean,mom_top_mean,rel_top_mean,rel_minus_mom,rel_minus_trend,n_members
2009-05-15,0.46760395270390004,0.6422381234872793,0.03989501165346926,0.09179731825200786,1.0,0.22283432687308796,0.34593546197246633,-0.02512392455665191,0.0039111341951125755,-0.38977267343084765,33.119998931884766,0.033385326686277805,-1.3644750080945334,1.0,0.8063267003492262,0.5046663589253033,1.0,0.35,0.5105475835331299,0.5442915778692036,0.8333333333333334,0.5878581956592561,0.6388572431379185,0.03374399433607367,0.1942915778692036,10.0
2009-05-22,0.4514938451770015,0.6268860248750788,0.05466596346804516,0.06297415552217715,1.0,0.21470628060456434,0.33128421372298705,0.005094502254235245,0.012987356935486138,-0.3866638689400451,32.630001068115234,-0.014794621967750388,-1.172463024594127,1.0,0.8640298109273906,0.4602385999361982,1.0,0.375,0.5538328725848365,0.5673689993209606,0.8333333333333334,0.6347733885635641,0.668391551643345,0.013536126736124143,0.19236899932096063,10.0
2009-05-29,0.5471233956279071,0.6431895017530381,0.038192932928647755,0.0535408768004292,1.0,0.24456429305407368,0.3265542721121275,0.0514117604615667,0.04242817669605503,-0.35301621037614916,28.920000076293945,-0.07751197051378977,-1.617266745845492,1.0,0.9112764434273999,0.5364057891102745,1.0,0.425,0.5672786360624686,0.5520294913524577,0.9166666666666666,0.6273027785715547,0.6217530286098828,-0.015249144710010931,0.12702949135245772,10.0
2009-06-05,0.6190786723089116,0.6483383632732801,0.03877289266422612,0.09780510393364054,1.0,0.25518642148731424,0.31006536516559297,0.039570348822872026,0.049957108387692406,-0.32741483613798983,29.6200008392334,0.024204728945116827,-1.401815009357012,1.0,0.9464082277084945,0.6250292176197904,1.0,0.45,0.600924594183302,0.5399036496705023,0.9166666666666666,0.6780462561519522,0.6258175609208586,-0.06102094451279971,0.0899036496705023,10.0
2009-06-12,0.536678679271125,0.6168903243991879,0.043835349097115825,0.09692306269995009,1.0,0.20782522517200247,0.2782955786661378,-0.00353427461649225,0.10993383033478366,-0.3297919368100566,28.149999618530273,-0.04962866911050268,-1.4721863713059848,1.0,0.9672875458504572,0.6013317050573345,1.0,0.475,0.5655540616820984,0.5237324981588917,0.9166666666666666,0.627769982814836,0.591333699267527,-0.04182156352320676,0.04873249815889169,10.0
2009-06-19,0.5559379046578157,0.6099818142064797,0.022165037939343334,0.061810105326283234,1.0,0.21585964766084476,0.26974476669641123,-0.012156180352524082,0.056140159415447144,-0.33793910689990936,27.989999771118164,-0.005683831246192539,-1.403728535173493,1.0,0.9792961396487428,0.5480983866141185,1.0,0.575,0.5313186468475867,0.5165542129663028,1.0,0.5908982116775731,0.5800425652419179,-0.0147644338812839,-0.05844578703369718,10.0
2009-06-26,0.5724811508610456,0.5524930687165017,0.02557074867259362,0.04884499763452566,0.9,0.20749669053531114,0.2440613524654161,0.00580692400622862,0.04190930579363483,-0.33409456960618134,25.93000030517578,-0.07359769499062374,-1.697658048989472,1.0,0.9815076514792355,0.6073193656180476,1.0,0.6,0.5430188050208157,0.5243881284477887,1.0,0.6093946346273236,0.5827108612373194,-0.018630676573026972,-0.07561187155221127,10.0
2009-07-10,0.598427341208845,0.5264759890322872,0.01956246818348112,0.04211233127064854,0.6,0.206569589745964,0.221106017612978,-0.01910117811552825,-0.05043576967426033,-0.3606430371578707,29.020000457763672,0.038282635621355476,-0.7884321952437789,1.0,0.980679673478232,0.5823152811380814,1.0,0.65,0.516838081568695,0.513604775541607,1.0,0.5675872158047216,0.5647924536760224,-0.0032333060270880454,-0.13639522445839303,10.0
2009-07-17,0.6996012830312872,0.5586428616412346,0.04102862212061837,0.054902501127719265,1.0,0.236668469834276,0.2270516434220784,0.07560185033187783,0.04781847238646186,-0.31230646774443604,24.34000015258789,-0.1612680989439388,-1.8127536358365566,1.0,0.9732275314814496,0.7118470756804569,1.0,0.675,0.5863814675968247,0.5506096879213298,1.0,0.6406353029399527,0.605039935565754,-0.03577177967549494,-0.12439031207867024,10.0
2009-07-24,0.5380055576098269,0.5273822651205943,0.03945067920278411,0.0739673994416707,1.0,0.21257025098399032,0.21787010085431005,0.03966966823050755,0.09721817580157466,-0.28502589347559193,23.09000015258789,-0.05135579261149248,-1.9004875705251398,1.0,0.973617039340836,0.5998388651655915,1.0,0.725,0.6283309803275973,0.5646881762759561,1.0,0.6885458643182595,0.6162266824401702,-0.06364280405164113,-0.16031182372404384,10.0
