feature,importance,model,fold
recovery_intensity,0.023106218915679478,recovery,4
rel_top_mean,0.010538190639747898,recovery,4
xs_disp_5d,0.010217126808110127,recovery,4
breadth_63d,0.009537721603512121,recovery,4
avg_corr_63,0.009045060384662833,recovery,4
avg_corr_21,0.008331730315240059,recovery,4
qqq_ret_21d,0.00796290826344047,recovery,4
rel_mean,0.007841545606094007,recovery,4
vix_z_63,0.0074660026757075665,recovery,4
xs_disp_21d,0.006538506569028479,recovery,4
qqq_ret_5d,0.005078526858646886,recovery,4
base_turnover,0.004651228729190295,recovery,4
crisis_scale_weekly,0.0044435402689950824,recovery,4
crisis_state_weekly,0.0040497958646753315,recovery,4
corr_scale_weekly,0.0004725950854225056,recovery,4
corr_state_weekly,0.0001016964598051974,recovery,4
rel_minus_mom,0.0871942367493815,fragility,5
intensity_spread,0.08667368681610786,fragility,5
base_total_scale,0.08193524327350292,fragility,5
base_exposure,0.07649307301200182,fragility,5
mom_mean,0.06523425754029107,fragility,5
stress_intensity,0.06387225714325694,fragility,5
turb_scale_weekly,0.05795166476501607,fragility,5
avg_corr_63,0.046114346877743594,fragility,5
base_turnover,0.04372101313483742,fragility,5
qqq_vol_21,0.03745978085385625,fragility,5
rel_minus_trend,0.03693652914022588,fragility,5
vix_level,0.03565085944152364,fragility,5
recovery_intensity,0.03442086636501071,fragility,5
qqq_drawdown,0.03155384131530761,fragility,5
rel_mean,0.027678765059232,fragility,5
avg_corr_21,0.027158969138665966,fragility,5
rel_top_mean,0.026560628865008037,fragility,5
qqq_ret_21d,0.025479973150152175,fragility,5
trend_mean,0.022902980253848272,fragility,5
vix_z_63,0.0196288416638168,fragility,5
xs_disp_21d,0.01751824263235127,fragility,5
breadth_63d,0.014600785612514516,fragility,5
qqq_ret_5d,0.013707230085447211,fragility,5
xs_disp_5d,0.011827999709653998,fragility,5
crisis_scale_weekly,0.003786898615384877,fragility,5
corr_scale_weekly,0.0022807070141870564,fragility,5
crisis_state_weekly,0.0011260520178266367,fragility,5
corr_state_weekly,0.0005302697538480468,fragility,5
intensity_spread,0.1826093667256112,recovery,5
base_total_scale,0.17112227826412735,recovery,5
qqq_drawdown,0.08836399501185192,recovery,5
stress_intensity,0.07304130150612606,recovery,5
qqq_vol_21,0.06944962036890938,recovery,5
