Date,IC_trend,IC_mom,IC_rel,IC_composite
2007-01-19,0.04552015356252164,0.0,-0.04030784030784031,0.0
2007-01-22,0.0436417488739803,0.0,-0.04684944684944684,0.0
2007-01-23,0.041239674822810705,0.0,-0.04684944684944685,0.0
2007-01-24,0.034110325203325305,0.0,-0.053391053391053385,0.0
2007-01-25,0.042388648453655156,0.0,-0.0506974506974507,0.0
2007-01-26,0.05887567982989022,0.0,-0.04511784511784512,0.0
2007-01-29,0.06737781820626423,0.0,-0.042039442039442036,0.0
2007-01-30,0.07576267685295486,0.0,-0.03684463684463685,0.0
2007-01-31,0.06953967678255253,0.0,-0.037037037037037035,0.0
2007-02-01,0.06337519891574392,0.0,-0.049350649350649346,0.0
2007-02-02,0.058984091873474614,0.0,-0.04415584415584416,0.0
2007-02-05,0.06189771986135301,0.0,-0.024146224146224148,0.0
2007-02-06,0.05604600077755801,0.0,-0.019528619528619527,0.0
2007-02-07,0.0598510088196786,0.0,-0.015488215488215488,0.0
2007-02-08,0.06479977255722776,0.0,-0.02068302068302068,0.0
2007-02-09,0.06863306846519635,0.0,-0.025300625300625303,0.0
2007-02-12,0.07112434995491378,0.0,-0.023953823953823953,0.0
2007-02-13,0.08463438178723426,0.0,-0.01856661856661856,0.0
2007-02-14,0.08833174974200048,0.0,-0.026839826839826837,0.0
2007-02-15,0.08051788979007442,0.0,-0.032996632996632996,0.0
2007-02-16,0.09128863175957738,0.0,-0.02626262626262626,0.0
2007-02-20,0.0886093312990066,0.0,-0.0253006253006253,0.0
2007-02-21,0.07436529312220544,0.0,-0.03338143338143338,0.0
2007-02-22,0.06560455475537802,0.0,-0.03415103415103415,0.0
2007-02-23,0.058384606841755164,0.0,-0.03684463684463684,0.0
2007-02-26,0.0625271999069486,0.0,-0.03569023569023569,0.0
2007-02-27,0.056864997161501854,0.0,-0.028956228956228954,0.0
2007-02-28,0.06328594823258035,0.0,-0.015295815295815295,0.0
2007-03-01,0.06805347469919298,0.0,-0.018181818181818177,0.0
2007-03-02,0.0636940486131958,0.0,-0.014718614718614718,0.0
2007-03-05,0.06881697388937433,0.0,-0.00432900432900433,0.0
2007-03-06,0.057549704313071666,0.0,-0.00432900432900433,0.0
2007-03-07,0.058382067406786,0.0,-0.0029822029822029828,0.0
2007-03-08,0.06470648654396788,0.0,0.013564213564213563,0.0
2007-03-09,0.07902860569295451,0.0,0.03126503126503126,0.0
2007-03-12,0.07336502949962345,0.0,0.04242424242424243,0.0
2007-03-13,0.06453496639410436,0.0,0.034728234728234726,0.0
2007-03-14,0.06097368465304466,0.0,0.029918229918229913,0.0
2007-03-15,0.056434183729989734,0.0,0.03395863395863395,0.0
2007-03-16,0.05437070063054065,0.0,0.02934102934102934,0.0
2007-03-19,0.06635007093585753,0.0,0.033189033189033185,0.0
2007-03-20,0.06708912125183639,0.0,0.03164983164983164,0.0
2007-03-21,0.06858236245840245,0.0,0.02895622895622895,0.0
2007-03-22,0.05677972474247895,0.0,0.01856661856661856,0.0
2007-03-23,0.07483186371761927,0.0,0.03203463203463203,0.0
2007-03-26,0.06784199144804068,0.0,0.02664742664742664,0.0
